lat,lon,ap
40.11454001,-88.22867921,34
40.1145206,-88.22876137,45
40.1140503,-88.229285,48
40.11423621,-88.22888844,52
40.11397684,-88.22884923,47
40.11387927,-88.22885676,37
40.11371001,-88.22882338,28
40.11361767,-88.2288116,19
40.11355928,-88.22870535,33
40.11356969,-88.22851752,38
40.11356109,-88.22721128,45
40.11353585,-88.22700566,31
40.11355943,-88.22696471,9
40.1135708,-88.22684152,17
40.11352487,-88.22637882,22
40.11351045,-88.22616805,26
40.11357344,-88.22585958,54
40.1135953,-88.22576197,63
40.11361777,-88.22561734,68
40.11364376,-88.22555623,48
40.11377204,-88.22542998,20
40.11378407,-88.22550237,26
40.11339082,-88.22553075,120
40.11326944,-88.22555029,73
40.11256361,-88.22555603,81
40.11207721,-88.22554885,48
40.11192364,-88.22556567,35
40.11170691,-88.22555188,36
40.11154463,-88.22561784,60
40.11162619,-88.22564231,30
40.11176957,-88.22564164,27
40.11193175,-88.22562632,35
40.11200472,-88.22563925,37
40.11215356,-88.2256855,46
40.11228099,-88.22574828,63
40.11230834,-88.22612204,25
40.11229612,-88.22621605,38
40.11229559,-88.22630358,38
40.11228384,-88.22647906,28
40.11229017,-88.22656951,31
40.11165509,-88.22771853,44
40.1105021,-88.22779847,58
40.10914552,-88.22801667,65
40.10898977,-88.22798682,42
40.10855398,-88.22764096,28
40.10848835,-88.22764644,19
40.10828228,-88.22762072,19
40.10817407,-88.22761905,17
40.10800791,-88.22758064,17
40.10787689,-88.22759097,9
40.10777005,-88.22758119,16
40.10770645,-88.22755978,20
40.10759529,-88.22756439,17
40.10745824,-88.22756506,14
40.1084792,-88.2275447,25
40.10722937,-88.22755361,31
40.10711555,-88.22754156,62
40.10695561,-88.22754437,41
40.10678993,-88.22754146,63
40.1062793,-88.22830896,88
40.10634357,-88.22877494,48
40.10662615,-88.22877942,50
40.10691884,-88.22930733,97
40.10690911,-88.22941288,39
40.10689705,-88.22951231,100
40.10689003,-88.22960592,49
40.10689334,-88.22978856,51
40.10690355,-88.22987552,34
40.10690214,-88.2299668,40
40.1069222,-88.23006306,46
40.10694032,-88.23015966,43
40.10694615,-88.23024649,51
40.10695076,-88.23033896,51
40.10695553,-88.23044684,55
40.10697138,-88.23066958,103
40.10697254,-88.23077174,50
40.1066261,-88.2305301,81
40.10695708,-88.23115006,72
40.10693915,-88.23125183,45
40.10691988,-88.23134761,45
40.10690845,-88.23143363,59
40.10689945,-88.23150171,59
40.10688367,-88.23156942,53
40.10695949,-88.23187417,58
40.10704157,-88.23191301,37
40.1072002,-88.23194924,41
40.10735989,-88.2319255,53
40.10786952,-88.23199377,57
40.10793074,-88.23200116,11
40.10806302,-88.23275954,26
40.10805132,-88.23297795,32
40.10802061,-88.23313955,41
40.10799987,-88.23335587,35
40.1085194,-88.2334866,38
40.10774782,-88.2335228,39
40.10756874,-88.23353009,52
40.10741501,-88.23353574,48
40.10734088,-88.23354051,38
40.10718859,-88.23354669,31
40.10706291,-88.23349462,24
40.10695881,-88.23350175,33
40.10679098,-88.23350949,41
40.10670205,-88.23358085,36
40.10668318,-88.23371945,39
40.10665076,-88.23382509,75
40.10663915,-88.23411417,36
40.10664364,-88.23435661,38
40.1066566,-88.23454776,47
40.10664113,-88.23467769,49
40.10665519,-88.23493056,51
40.10665989,-88.23518614,50
40.10654346,-88.23543737,55
40.1065319,-88.23556283,63
40.1065235,-88.23579961,56
40.10652631,-88.23600165,58
40.10651426,-88.23619322,46
40.10650951,-88.2362853,49
40.10651345,-88.23643043,50
40.10651529,-88.23649682,59
40.10645613,-88.23645862,55
40.10639737,-88.23644767,43
40.1062605,-88.23647835,43
40.10580482,-88.2365499,38
40.10573576,-88.23655085,16
40.10569679,-88.23654051,22
40.10569143,-88.23652356,18
40.10572859,-88.23658329,20
40.1057429,-88.23659214,11
40.10574765,-88.23660182,26
40.10575168,-88.23659845,32
40.10575254,-88.23659563,31
40.10575261,-88.23659548,27
40.10575336,-88.23659296,25
40.10575327,-88.2365916,24
40.1057531,-88.2365903,28
40.10575217,-88.23658658,24
40.10575189,-88.23658526,32
40.10578634,-88.23657886,54
