lat,lon,apcount
40.1068082,-88.23135413,17
40.10850435,-88.22887144,49
40.1053234,-88.22318135,17
40.10071524,-88.22377896,36
40.10156877,-88.23021082,51
40.11030297,-88.22562008,19
40.10061078,-88.22853597,13
40.10417252,-88.22206662,4
40.1014106,-88.22714588,31
40.10679222,-88.22766175,130
40.10411985,-88.23234595,19
40.10172468,-88.22192354,6
40.10724148,-88.22883699,12
40.1006468,-88.226715,16
40.11040987,-88.23190682,2
40.10265024,-88.2260002,24
40.10770645,-88.22755978,17
40.10882471,-88.22769924,94
40.10291071,-88.22200625,9
40.1049135,-88.2292864,13
40.10069519,-88.22234315,6
40.11510916,-88.22576121,7
40.1066261,-88.2305301,21
40.10408921,-88.23099131,18
40.10483731,-88.21969635,3
40.10792471,-88.22374887,25
40.10182474,-88.22189602,4
40.1135646,-88.2251279,32
40.10497376,-88.22018761,24
40.10794886,-88.22693584,94
40.10783835,-88.22756552,29
40.10694615,-88.23024649,10
40.1143104,-88.22392663,1
40.10410341,-88.2276691,40
40.10413904,-88.22981785,14
40.10418807,-88.22689769,34
40.10071815,-88.22407986,22
40.10680494,-88.22886875,7
40.1130749,-88.2240752,5
40.10602122,-88.22491597,44
40.10627969,-88.23208198,33
40.10828228,-88.22762072,9
40.11170691,-88.22555188,32
40.11012538,-88.22866264,21
40.11042698,-88.22939484,16
40.10283099,-88.22197366,18
40.10678993,-88.22754146,61
40.10068473,-88.22545159,9
40.1045525,-88.22712391,30
40.1049624,-88.22052885,10
40.1026376,-88.22636087,58
40.10416713,-88.22246887,6
40.10545027,-88.22904173,12
40.10779797,-88.2335635,1
40.10546188,-88.23354864,1
40.10777005,-88.22758119,14
40.11627568,-88.22473151,3
40.11040748,-88.23200561,2
40.11040934,-88.23299605,2
40.11377204,-88.22542998,16
40.10455044,-88.22718835,11
40.10663278,-88.23386697,14
40.10668318,-88.23371945,4
40.10412426,-88.22465846,23
40.1102443,-88.22383592,84
40.10162949,-88.22767297,32
40.11456029,-88.22704041,60
40.10424431,-88.22569476,17
40.10344693,-88.21991281,10
40.11036485,-88.22385632,36
40.10583473,-88.23038997,8
40.10900017,-88.22473524,19
40.11627115,-88.2246175,3
40.10690214,-88.2299668,4
40.10900664,-88.22383092,24
40.10412659,-88.22726672,12
40.10415872,-88.22603241,19
40.11229612,-88.22621605,33
40.10749258,-88.22734068,38
40.10484438,-88.22514158,7
40.10411677,-88.22340605,29
40.10447336,-88.21965323,1
40.10690845,-88.23143363,25
40.10496231,-88.22052926,8
40.1033451,-88.22087238,2
40.10662615,-88.22877942,31
40.10715128,-88.22884197,12
