flat,flon,tlat,tlon
25.71111355,-80.28365643,25.7111236,-80.28366099
25.7111236,-80.28366099,25.71111971,-80.28364685
25.71111971,-80.28364685,25.71110277,-80.28364038
25.71110277,-80.28364038,25.71108981,-80.28363548
25.71108981,-80.28363548,25.71107954,-80.28362664
25.71107954,-80.28362664,25.71107961,-80.28362793
25.71107961,-80.28362793,25.71107867,-80.28362777
25.71107867,-80.28362777,25.71107805,-80.28362775
25.71107805,-80.28362775,25.71107536,-80.28362616
25.71107536,-80.28362616,25.71107382,-80.2836249
25.71107382,-80.2836249,25.71107365,-80.28362482
25.71107365,-80.28362482,25.71107367,-80.2836248
25.71107367,-80.2836248,25.71107481,-80.28362337
25.71107481,-80.28362337,25.71108062,-80.28362095
25.71108062,-80.28362095,25.71106777,-80.28360218
25.71106777,-80.28360218,25.71107637,-80.2836072
25.71107637,-80.2836072,25.71106702,-80.28361215
25.71106702,-80.28361215,25.71106358,-80.28360796
25.71106358,-80.28360796,25.71117249,-80.28350521
25.71117249,-80.28350521,25.71121473,-80.28343606
25.71121473,-80.28343606,25.71130993,-80.28337056
25.71130993,-80.28337056,25.71137631,-80.28328342
25.71137631,-80.28328342,25.71144226,-80.28321016
25.71144226,-80.28321016,25.71157695,-80.28321559
25.71157695,-80.28321559,25.71393841,-80.28321039
25.71393841,-80.28321039,25.71496202,-80.28311738
25.71496202,-80.28311738,25.71503564,-80.28259797
25.71503564,-80.28259797,25.7154379,-80.28104265
25.7154379,-80.28104265,25.71598479,-80.28090197
25.71598479,-80.28090197,25.71596614,-80.28061641
25.71596614,-80.28061641,25.71593007,-80.28053248
25.71593007,-80.28053248,25.71589829,-80.28049138
25.71589829,-80.28049138,25.71592231,-80.28038104
25.71592231,-80.28038104,25.71600017,-80.28032386
25.71600017,-80.28032386,25.71628232,-80.2800979
25.71628232,-80.2800979,25.71640974,-80.27987584
25.71640974,-80.27987584,25.71660477,-80.27942781
25.71660477,-80.27942781,25.71734461,-80.27823362
25.71734461,-80.27823362,25.71756253,-80.27772814
25.71756253,-80.27772814,25.71760445,-80.27759448
25.71760445,-80.27759448,25.71783253,-80.27726516
25.71783253,-80.27726516,25.71803117,-80.27723606
25.71803117,-80.27723606,25.71814982,-80.27728917
25.71814982,-80.27728917,25.71833761,-80.27734576
25.71833761,-80.27734576,25.71975133,-80.2771628
25.71975133,-80.2771628,25.71982778,-80.27728719
25.71982778,-80.27728719,25.71981784,-80.27731181
25.71981784,-80.27731181,25.71983605,-80.27733223
25.71983605,-80.27733223,25.71984565,-80.27734513
25.71984565,-80.27734513,25.71985153,-80.27735131
25.71985153,-80.27735131,25.71985111,-80.27735155
25.71985111,-80.27735155,25.7198509,-80.27735175
25.7198509,-80.27735175,25.71985071,-80.27735134
25.71985071,-80.27735134,25.71985058,-80.27735099
25.71985058,-80.27735099,25.7198505,-80.27735093
25.7198505,-80.27735093,25.71985178,-80.27735593
25.71985178,-80.27735593,25.71984847,-80.27737462
25.71984847,-80.27737462,25.71984139,-80.27738799
